Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
134,1/29/2024,بييرتيوب,Peertube,Peertube,بديل قوي لليوتيوب,alternative,,,,
135,1/29/2024,عربي,english,testcompany,i dont know,boycott,,,,
136,1/29/2024,نيوبايب,Newpip,Newpip,شاهد مقاطع اليوتيوب بدون اعلانات او تتبع من جوجل وكدا مش هنخليهم يستفادوا,alternative,,,,
137,1/29/2024,ليبرتيوب,Libretube,Libretube,شاهد مقاطع اليوتيوب بدون اعلانات او تتبع من جوجل وكدا مش هنخليهم يستفادوا,alternative,,,,
138,1/29/2024,يوتيوب ريفانزيد,Youtube revanced,Revanced,استعمال microG بدل جوجل ودا بيقلل الاستفاده ليهم وهو يوتيوب بدون اعلانات وبمميزات اكثر,boycott,,,,
139,1/29/2024,شركة 1,company 1,company 2,idk really why but yea,boycott,,,,
141,1/29/2024,تاكسيدو,Tuxedo,Taxedo,شركة كمبيوترات بديله لديل واتش بي,alternative,,,,
142,1/29/2024,سليمبوك,Slimbook,Slimbook,شركة كمبيوترات بديلة لديل واتش بي,boycott,,,,
143,"1/29/2024, 1/31/2024",لينكس,Linux,"Linux fundation, غير محددة",نظام تشغيل مفتوح المصدر بديل للويندوز وللماك | نظام تشغيل حُر ومجاني غير محتكر من قبل أي جهة.,alternative,,,,
144,"1/29/2024, 3/5/2024, 45433.49242, 45439.5416, 45441.67979",تويست,Twist,"Management gate, لا اعلم , ~~~؟~~~, Twist",مشروب طاقه بديل ل ريدبول  | هل هذا داعم ام بديل  | Energy drink - مشروب طاقة  |           | مشروب طاقه,"alternative, unsure, boycott",,,,
145,"1/29/2024, 5/16/2024",أوه,"O Eau, Eau",شركة النور للصناعة,مياه معدنية | زجاجة ماء,alternative,,,,
146,1/29/2024,فولت,Volt,Aje group,مشروب طاقه بديل ل ريدبول / مونستر,alternative,,,,
147,1/30/2024,ابو الولد,Abo Al Walad,شركة فرنسية,شركة فرنسية وبالتالي تكون مقاطعة,unsure,,,,
148,1/30/2024,يورياج,Uriage,Puig,". It is a spanish company
Uriage has skin care products
https://en.wikipedia.org/wiki/Puig_(company)

However they don't have stores in israel
https://www.uriage.com/AA/en/points-of-sale?coordinates=48.8766796%2C2.3189725&query=Europe%2C+Paris%2C+France",unsure,,,,
149,1/30/2024,QWE,QWE,QWEQWE,QWEQWE,boycott,,,,
150,1/30/2024,العربية هنااااا,ENGLISH HEREEE,QWEQWE,I DONT REALLY KNOW,boycott,,,,
151,1/30/2024,شوكلاته توديه,today chocolate ,today ,a jordanian company ,alternative,,,,
152,1/30/2024,فياجرا,viagra,Pfizer,"دواء مثبط للإنزيم ""PDE""، الهدف منه علاج المشاكل الجنسية الوظيفية مثل الضعف الجنسي وضعف الانتصاب، فعند حدوث إثارة جنسية يساعد هذا الدواء على تدفق الدم إلي القضيب فيحفز على الإنتصاب و استمراره.",unsure,,,,
153,1/30/2024,دومتي,Domty,"شركة الصناعات الغذائية العربية (دومتي), Domty","دومتي شركة مصرية الأصل تشتهر بمنتجاتها العديد في مصر وأشهرها ""جبنة فيتا"" | شركة دومتي هل هي داعمة ام لا","alternative, unsure",,,,
154,1/30/2024,كانديا,condia,candia,حليب يباع في الجزائر,unsure,,,,
156,1/30/2024,بيسكو مصر,Bisco misr,معرفش ,معرفش,boycott,,,,
157,"1/30/2024, 4/2/2024",لافازا,"Lavazza, Lavazza ","Lavazza, Lavazza ",قهوة كبسولات | قهوة إيطالي ,unsure,,,,
158,1/30/2024,ابل,ابل,ابل,قام تيم كوك الرئيس التنفذي لشركة ابل بالتبرع لاهل القتلى من الجنود الاسرائيليون ,boycott,,,,
159,"1/30/2024, 45442.88209",هوهوز,HOHOs,"ايديتا, إيديتا, أيدينا نفس شركة مولتو",هوهوز منتج من ايديتا المصرية مثل مولتو وبيك رولز.. كيف يكون احد منتجات الشركة داعم والمنتج الاخر بديل | نظرا لشراكتها مع شركة هوستس الأمريكية | راجعوا يا جدعان عاملين شغل كويس كملوا المعلومات صح بقى مش معقول,boycott,,,,
160,1/30/2024,شاي أحمد تي ,Ahmad Tea,أحمد تي ,يعتبر شاي أحمد تي من أبرز أنواع الشاي المتواجد فى السوق المصري، ولكنه تابع لشركة أوروبية، لذلك فينضم لقائمة المقاطعة، ويعتبر ضمن المنتجات الداعمة للكيان الصهيوني.,boycott,,,,
161,1/30/2024,بسكو مصر ,Bisco Misr ,Kellogg's,أعلنت شركة كلوجز الأمريكية المدرجة في بورصة نيويورك حصولها على 85.93% أي ما يعادل 9.8 مليون سهم من أسهم شركة بسكو مصر.,boycott,,,,
162,1/30/2024,جبن دومتي,Domty,شركة الصناعات الغذائية العربية,برجاء التأكد هل تتبع المقاطعة ام لا,unsure,,,,
163,1/30/2024,قولون,gullon,gullon,هل هو مقاطعة ,unsure,,,,
165,1/30/2024,بوكي (بوكي تيوب),Poke (PokeTube),"https://ashley0143.xyz (Ashley), Ashley",فرنت اند (واجهة) لموقع اليوتيوب مفتوح المصدر ولا يحتوي على أي تعقب ولا اعلانات وبه روابط تبرع لفلسطين 🇵🇸  | واجهة لموقع اليوتيوب خالية من الإعلانات والتعقب وبها روابط دعم لفلسطين 🇵🇸,"boycott, alternative",,,,
167,1/30/2024,البركة,Elbraka,Elbraka,فراخ مقلية و ستربس بالاسكندرية,alternative,,,,
168,1/30/2024,بيبسي ,pepsi,شركه pepsi ,لانها في قائمت المقاطعه وتبع الصهاينة ,boycott,,,,
169,"1/30/2024, 1/31/2024",مرسول,"marssol, marsol","marssol, marsol",بديل موقع طلبات لتوصيل الطعام | برنامج خدمت توصيل,"alternative, unsure",,,,
170,1/30/2024,سيكند كب,Second Cup,Foodtastic Inc,مقهي و كعك,unsure,,,,
171,1/30/2024,ريتش بيك,Rich Bake,ريتش بيك,"شركة المخابز الحديثة ""ريتش بيك"" هي شركة مساهمة مصرية تأسست في عام ١٩٩٧ كأول شركة مخابز أصلية في مصر تقدم منتجات المخبوزات المعبأة للأسواق المصرية. تأسست ريتش بيك على يد أصحابها أ/ خالد الصقر – م/ مدحت الهلالي – م/ عمرو الهلالي
وكانت تقدم مساعدات للفلسطينيين",alternative,,,,
172,1/30/2024,بيودرما,bioderma,bioderma,شركة فرنسية,unsure,,,,
173,"1/30/2024, 2/29/2024, 3/17/2024",ماكسي,"maxi, MAXI, Maxi ","وابكو, منتجات مياه مصر, شركه المشروعبات الغازيه",مشروب غازي  | مياه غازيه | بديل ,"unsure, alternative",,,,
174,1/30/2024,ايه ام دي راديون,AMD radeon,AMD,شركة  AMD تنتج بعض أجزاء أجهزة الكومبيوتر منها المعالج و كارت الشاشة و ال mother board,unsure,,,,
176,1/30/2024,اكتف احذية رياضية,Activ,لا اعلم,احذية وملابس رياضية,unsure,,,,
177,1/30/2024,العالمية الحرة لتكنولوجيا المعلومات,Alalmiyalhura for information technology,العالمية الحرة لتكنولوجيا المعلومات,شركة مساهمة مصرية داعمة للقضية الفلسطينية متميزة في مجال ال (Software Solution - Marketing - Web and Mobile apps) ,alternative,,,,
178,1/30/2024,رويبة ,rouiba,NCA Rouiba,تمكنت NCA Rouiba من التمييز بين نفسها بفضل المنتجات عالية الجودة وبأسعار معقولة. ,alternative,,,,
180,1/30/2024,حمود بوعلام ,Hammoud boalam,حمودبوعلام ,مشروب غازي جزائري الاصل منذ 1879 من قبل الاحتلال الملعون. طعمو تحفة وفيه اذواق كثيرة من فواكه و كولا او بدون سكر.,alternative,,,,
181,1/30/2024,تويست ,twist,تويست ,برجاء التأكد من المنتج,unsure,,,,
182,1/30/2024,تودو,TODO,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
183,"1/30/2024, 2/29/2024, 3/12/2024",مولتو,"Molto, Molto ","إيديتا, إديتا , ايديتا","نظرا لشراكتها مع شركة هوستس الأمريكية | التقرير الرسمي المالي لشركة ايديتا ٢٠٢٢ بيأكد ان النسبة الاكبر من اسهم شركة ايديتا بترجع لشركة كوانتم الهولندية بنسبة %٤٢% من اجمالي اسهم الشركة، مع العلم ان شركة كوانتم ليها فروع رئيسية في لندن ونيويورك

وخليني ازيدك من الشعر بيت ان التقرير موضح ان حوالي ۱۲٪ من اسهم شركة ايديتا من نصيب بنك امريكي و %٥.٥% من أسهم الشركة من نصيب شركة استثمارات في لندن

بالتالي الشركات دي بتدفع ضرايب لامريكا والضرايب دي بتتحول لدعم بصور مختلفة للي ما يتسموا زي ما كلنا شفنا | غير متأكد لكن المقاطعه معها منتجات ايديتا مثل توينكز وغيره فهل صحيح ",boycott,,,,
184,1/30/2024,توينكيز,Twinkies,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
186,"1/30/2024, 4/4/2024",سيليكتو,"selecto, Selecto","HAMOUD BOULAME, حمود بوعلام Hamoud Boualem",مشروب غازي | مشروبات غازية,alternative,,,,
187,1/30/2024,فودافون,vodafone,Vodafone,شركة فودافون وخدماتها ,unsure,,,,
189,1/30/2024,أدوب,Adobe ,Adobe ,لم أتأكد من دعم الشركة يرجى التأمد,unsure,,,,
190,1/30/2024,تسالي,tasali,PepsiCo,احد منتجات شركة PepsiCo يباع بدول الخليج,boycott,,,,
191,"1/30/2024, 3/9/2024",كينزا,"kinza, Kinza","الجميل العالمية, Al Jameel International Co. - Beverages Factory (Kinza)",مشروب غازي سعودي بديل لمنتجات بيبسي وكوكاكولا | لا يوجد ادلة للدعم، واذا وجد اتمنى ان تتوفر هنا لانه من اكثر البدائل المستخدمة المميزة والممتازة,"alternative, boycott",,,,
193,1/30/2024,Hammett York,,Hammett York,Hammett York,boycott,,,,
194,1/30/2024,تيم هورتونز,Tim Hortons, Restaurant Brands International Inc  (RBI),"قرأت بضعت مقالات تثبت ذلك, حيث ان تيم هورتونز قدمت لجيش الدفاع الإسرائيلي القهوة والطعام كمساعدة لهم وبإقرار من حساب إسرائيل في كندا نفسه 
هنا المقال الذي وضح كل شي مع الأدلة ولكنه بالانجليزي بالطبع :
https://www.mayniaga.com/is-tim-hortons-supportive-of-israel-explained/",boycott,,,,
195,1/30/2024,فريسكا,Fresca ,ايديتا,ايديتا بها اسهم اجنبية,boycott,,,,
196,1/30/2024,احمد تي,ahmed tea,ahmed tea,منت من دولة داعمة,boycott,,,,
197,1/30/2024,بن كيفك,Kefek,لا اعرف,"بن من إنتاج شركه مصريه
المنتج جديد لكنه بجوده كويسه جدا",alternative,,,,
198,1/30/2024,سيناي ,cynay.com,cynay.com,محرك بحث مصري داعم للقضية الفلسطينية | محرك بحث مصري داعم للقضية الفلسطينية و بديل ل google.com,alternative,,,,
200,1/30/2024,شبسيكو,Chibseco,مصرية,شيبسي,alternative,,,,
201,1/31/2024,بربيكان,Barbican,شركة العوجان كوكا كولا للمشروبات,كوكا كولا تستحوذ على 50% من شركة العوجان مقابل 980 مليون دولار منذ 2011,boycott,,,,
202,1/31/2024,تولا,tola,ِِِِAlba pharma,منتج عناية بالشعر,alternative,,,,
203,1/31/2024,مياة اوه,Eau,معرفش,معرفش,unsure,,,,
204,1/31/2024,لينو,lino,lino oats,شوفان وسناكس,alternative,,,,
205,1/31/2024,أي أم دي,AMD,AMD,"شركه تصنع معالجات الكمبيوتر وكروت الشاشه
",unsure,,,,
207,1/31/2024,برايد,Pride,Pride,ماعرف ,unsure,,,,
208,1/31/2024,شركة انفينيتي,INFINTY,infinity clinic pharma,IT PROVIDES VARIETY OF HAIR AND SKIN CARE PRODUCTS ,alternative,,,,
209,1/31/2024,رو افريكان,RAW AFRICAN,RAW AFRICAN,"IT MAKES SKIN AND HAIR CARE PRODUCTS LIKE SHAMPOOS, CONDITIONER, LEAVE IN, BODY BUTTERS, LOTIONS AND MORE",alternative,,,,
210,1/31/2024,بوبانا,bobana,bobana,hair care and skin care,boycott,,,,
212,"1/31/2024, 45387.30997",ادوبي ,"Adobe, Adobe ","Adobe Inc, Adobe ","https://www.crikey.com.au/2023/11/01/israel-gaza-adobe-artificial-intelligence-images-fake-news/
second : | https://m.calcalistech.com/Article.aspx?guid=3903090",boycott,DONE,داعم غير مباشر,Glassbox Join Adobe Exchange Partner Program - Glassbox,تكنولوجيا
213,1/31/2024,مرسيديس,Mercedes,Mercedes Benz ,شركه المانيه لدعم الكيان,boycott,,,,
214,1/31/2024,ماسيمو دوتي,Massimo Dutti,Inditex,مالك الشركة هو نفسه مالك شركة زارا وباقي الشرطات الداعمة,boycott,,,,
215,1/31/2024,تاكي,Taki,تاكي,الموقع الرسمي كطتوب,boycott,,,,
216,1/31/2024,فوربد,Forbed,Forbed,الموقع الرسمي,boycott,,,,
217,"1/31/2024, 45440.46715, 45440.73341",بيك رولز,Bake rolz,"Edita , Edita, اديتا",تعاون مع شركات أمريكية  | معظم الأسهم أجنبية | لأنها تدعم اسرائيل,boycott,,,,
218,1/31/2024,حليب لبنيتا,labanita milk,labanita,منتج مصري محلي الصنع,alternative,,,,
219,1/31/2024,شيكا,Chicka ,Americana,.......,unsure,,,,
220,1/31/2024,أندومي,,أندومي,نوديلز ,unsure,,,,
221,1/31/2024,كوك دور,cook door ,الشركة الدولية للصناعات الغذائية ,"مطعم مصري تأسس سنة 1988 على يد عمرو السعيد (مدير مجلس الإدارة ؟) و أعلنت في صفحاتها على التواصل الاجتماعي عن التضامن مع أهلنا بفلسطين و بتقديم علم فلسطين و توفير صن توب كبديل (صن توب المدرج ضمن المقاطعة مع انه هناك اختلاف في ذلك)
",alternative,,,,
222,1/31/2024,بيتزا تايم,pizza time ,لم أتمكن من الوصول ,"من المطاعم المصرية التي أعلنت دعمها لألنا بفلسطين
صفحات التواصل الاجتماعي :
https://m.facebook.com/pizzatimeegypt
https://www.instagram.com/pizza_time_eg/",alternative,,,,
223,1/31/2024,شركة سانيتا,sanita,مجموعة إندفكو INDEVCO," تنتج الشركة منتجات النظافة الشخصية والمناديل المنزلية ، والمنتجات البلاستيكية (رئيس مجلس إدارتها هو كريم أفرام )
يقع المقر الرئيسي للشركة بمصر في مدينة السادات ، المنوفية 
الشركة مملوكة لمجموعة إندفكو التي مقرها بلبنان و رئيسها التنفيذي هو نعمة أفرام
https://twitter.com/neematfrem",unsure,,,,
224,1/31/2024,إيفا,Eva ,Eva cosmetics ,تعتبر شركة إيفا من الشركات المصرية التي تأتي في المقام الأول كبديل للعديد من المنتجات المختلفة التي تدخل ضمن المقاطعة,alternative,,,,
225,"1/31/2024, 2/29/2024",كيلوجز نودلز ,Kellogg's noodles ,"Kellogg , Kellogg",شركة أمريكية  https://en.m.wikipedia.org/wiki/Kellogg%27s | شركة أمريكية ,boycott,,,,
226,"1/31/2024, 3/30/2024",حمود بوعلام,"selecto, Hamoud Boualem ","hamoud boualem, حمود بوعلام ","بديل كوكا كولا غير متاكد
 | شركة جزائرية ","unsure, boycott",,,,
230,1/31/2024,ليبر أوفيس,LibreOffice,The Document Foundation,تطبيق حُر وغير مدفوع لا يُدار مِن قِبل شركة احتكارية وإنما منظمة غير ربحية.,alternative,,,,
231,1/31/2024,نيتفليكس,Netflix,Netflix,Netflix تدعم اليهود و الشواذ,boycott,,,,
232,1/31/2024,بيكتيڤ,Pectiv,Lenizer ,شركة إماراتية وعربية,alternative,,,,
233,1/31/2024,بي بم,Bebem, شركة حياة,"تعتبر بي بم أحد منتجات شركة حياة وهي منتج محلي متواجد في السوق منذ أكثر من 20 عام، ومنتشر في أكثر من 20 دولة ويعتبر منتج لطيف على البشرة، وينال رضا كثير من المستهلكين.

",alternative,,,,
234,2/1/2024,واتس فيس انستا ماسنجر شركه  ميتا ع,WhatsApp face insta ,شركه ميتا,"لان فيس يحظر و يحكم كل ما ننشر وحظر ممكن بديل تلجرام telegram روسي مقره دبى  او  سجنال signal امركيى على ما اعتقد لكن على الاقل ليس بيدعم بشكل رسمى او لا نعرف بعد دعمه او من عدمه  او  Bip app  وهذا تطيبق تركى لكن تاكد من صحتهم هل يدعمون او لا 
",boycott,,,,
236,2/1/2024,حلاوة زيادة,Zeyada Halawa,Zeyada Food,"حلاوة مصرية 100% ادعم منتج بلدك جربها هتعجبك إن شاء الله , اللهم انصر الإسلام و أعز المسلمين, اللهم انصر إخواننا المستضعفين في غزة و امنحهم التوفيق و التمكين و العزة.",alternative,,,,
237,2/1/2024,سوبيكو,supeco,كارفور,سلسلة محلات تجارية تابعة لكارفور,boycott,,,,
238,2/1/2024,صودا ستريم,SodaStream,SodaStream International Ltd ,"sodastream.com
SodaStream International Ltd. is an Israel-based manufacturing company best known as the maker of the consumer home carbonation product of the same name. The company's soda machines, in the style of",boycott,,,,
239,2/1/2024,ريـ /ماكس,RE/MAX,"RE/MAX, short for Real Estate Maximums, is an American international real estate company","RE/MAX Israel, a franchise of RE/MAX International, sells homes in Jewish-only settlements on illegally confiscated Palestinian land. Settlements have displaced thousands of Palestinian families and are in direct violation of international law. We call on RE/MAX International to establish and disseminate clear policies and guidelines for all Re/Max brokers and agents stating that they should not sell, rent, or publicize properties that are built on settlements in East Jerusalem and the West Bank. Further, members of the Re/Max network should not refer clients to brokers and agents who are involved with such illegal properties. ",boycott,,,,
240,"2/1/2024, 3/12/2024",إندومي ,"Indome, Indome ","Indofood, Indofood ","منتج من نوع نودلز 
وشركة اندوفود شركة إندونيسية
https://en.m.wikipedia.org/wiki/Indofood | شركة إندونيسية ",alternative,,,,
241,2/1/2024,تيفا,teva,teva pharmaceuticals  ,شركة يهودية عالميه لصناعة الأدوية,boycott,,,,
242,2/1/2024,مينز كللب,Men's Club,Men's Club,منتج مصري لصناعه الملابس بجوده عاليه ,alternative,,,,
243,,سنابس,Snaps,Gree,,,,,,
244,2/28/2024,رابيت,rabbit,rabbit,شبة breadfast,alternative,,,,
245,"2/28/2024, 5/5/2024",ديدي,"didi, Didi","https://www.wikidata.org/wiki/Special:EntityPage/Q113152979, Xiaoju Kuaizhi Inc","خدمات رقمية - مواصلات - شركة توفر خدمات التوصيل مثل اوبر | الشركة صينينة باستثناء حصة لاوبر بنسبة 12% اعتقد ممكن نعتبرها بديل
https://en.wikipedia.org/wiki/DiDi",unsure,,,,
246,2/28/2024,حليب بخيره ,Bekhero milk ,جهينة,شركة جهينة مصرية 100%,boycott,,,,
247,2/28/2024,م,م,مم,ممممااااااااااااااااااااااااااااااااااااا,boycott,,,,
248,2/28/2024,شاي احمد ,ahmed tea,ahmed tea,"يعبأ في الامارات وله علاقه ببريطانيا
",boycott,,,,
249,2/28/2024,خير زمان  ,,مجموعه منصور,"



https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1",boycott,,,,
250,2/28/2024,مترو  ,metro,مجموعه منصور,https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1,boycott,,,,
251,2/28/2024,مياه حياه ,,مجموعه منصور,https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1,boycott,,,,
252,2/28/2024,صن شاين ,,مجموعه منصور,https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1,boycott,,,,
253,2/28/2024, جميع منتجات ايديتا /ارجو البحث عن المؤسسه المكتوبه في الاثبات ,All Edita products,edita,"سؤال : هل edita مصرية ؟
الاجابة : اه الشركة مصرية 100% و ش.م.م وكل حاجه بس 
  تعالى نبص على حملة الأسهم (الشركاء او المستثمرين) في الشركة هما مين والكلام الآتي ذكره ده بناءا على تقرير تدقيق مالي لمؤسسة ""Grant Thornton"" وهي مؤسسة عملاقة تقدر تبحث عنها فجوجل والتقرير 
فديسمبر 2022 يعني مش قديم
 Company are Quantum Investment BV 
holding
 42.67%
شركة اسثمارات مقرها في هولندا ودي ليها الحصة الأكبر وممثيلنها هما عائلة برزي مؤسسي edita 
 the Bank of New York Mellon (acting as depositary bank for shares traded in London Stock 
Exchange) managing 
11.7%
BNY بنك أمريكاني  
Kingsway Fund Frontier Consumer Franchises 
holding 
9.11%
شركة اسثمارات في لندن 
RIMCO E GT Investment LLC holding 
5.35%
شركة مصرية
وباقي الأسهم متوزعة بين اكتر من حد 
يعني ببساطة الشركة مصرية ده أكيد ، بس امريكا وبريطانياو هولندا واكلين منها معظمها
منتجات edita:
هوهوز
 توينكز
 تودو 
ميمكس 
مولتو
 بيك رولز 
 بيك ستيكس
 فريسكا 
  تايجر تيل
 فورني
 اونيرو لافا/بالأضافه ان هوهوز وتوينكز وكيكه تايجر تيل اتصنعوا بشراكه مع هوستس الامريكيه 
",boycott,,,,
254,2/28/2024,سبينس,spinneys,spinneys,"مالك الشركه صندوق انفستيك الاماراتي وتقدلروا تبحثوا وتتأكدوا
",boycott,,,,
255,2/28/2024,شان,Shaan,parkville,https://eparkville.com/collections/shaan,alternative,,,,
256,2/28/2024,فاين ,fine ,fine ,"انا على حد معرفتي انها اردنيه والاردن ساعدت اسرائيل بالطماطم بس عايزكوا تبحثوا اكتر 
",unsure,,,,
261,2/29/2024,دولسي ,Dolce ,Nestle ,مكتوب على العبوة دليل نستلة الغذائي,boycott,,,,
263,2/29/2024,فريسكا ,Freska ,إديتا ,"التقرير الرسمي المالي لشركة ايديتا ٢٠٢٢ بيأكد ان النسبة الاكبر من اسهم شركة ايديتا بترجع لشركة كوانتم الهولندية بنسبة %٤٢% من اجمالي اسهم الشركة، مع العلم ان شركة كوانتم ليها فروع رئيسية في لندن ونيويورك

وخليني ازيدك من الشعر بيت ان التقرير موضح ان حوالي ۱۲٪ من اسهم شركة ايديتا من نصيب بنك امريكي و %٥.٥% من أسهم الشركة من نصيب شركة استثمارات في لندن

بالتالي الشركات دي بتدفع ضرايب لامريكا والضرايب دي بتتحول لدعم بصور مختلفة للي ما يتسموا زي ما كلنا شفنا",boycott,,,,
264,3/1/2024,أبوورك,Upwork,Upwork,I wamt to make sure that Upwork.com doesn't support Israel at any cost,unsure,,,,
265,3/1/2024,فريلانسر,Freelancer,Freelancer.com,Freelancer.com gives opportunities to the creative people,unsure,,,,
266,3/1/2024,كيفك ,Kefk,الشركة المصرية للصناعات الغذائية كيفك ,كيفك قهوه وشاي وبن ونيسكافيه ,alternative,,,,
267,"3/1/2024, 3/25/2024",كوكي,"Koki, koki","Amricana group, koki",امريكانا جروب تدعم الاحتلال | https://besraha.com/106283,boycott,,,,
268,3/2/2024,فيمتو,Vimto,Vimto,مشروب عصير التوت ,unsure,,,,
269,3/2/2024,نسكافيه ,Nescafe ,Nestle,H,alternative,,,,
271,3/2/2024,جي بي تي,GPT,OpenAI,"شركة OpenAI بتدعم Microsoft لأن Bing مبني علي نموذج GPT، وطبعاً Microsoft بتدعم الصهاينة، وبالتالي كل الmodels اللي مبنية علي GPT تبع  المقاطعة (زي Magic School وNotion AI وDALL-E)

https://en.globes.co.il/en/article-microsoft-grants-israeli-employees-special-war-allowance-1001462178

https://cnbc.com/2023/01/10/microsoft-to-invest-10-billion-in-chatgpt-creator-openai-report-says.html",boycott,,,,
272,3/3/2024,كلينيكس,Kleenex ,كمبرلي كلارك,داعم للاحتلال,boycott,,,,
273,3/3/2024,اندومي indomi,Indomie,Indofood,الشركة الأم في اندونيسيا,alternative,,,,
274,"3/3/2024, 3/15/2024",سامسونج,Samsung,Samsung,تعد شركة سامسونج من أشهر شركات الجوال المنتشرة في جميع الدول العربية والأجنبية. كما تتم صناعة هواتف سامسونج في دولة كوريا الجنوبية، وهي من شركات الجوال الداعمة لإسرائيل، وذلك لأنها تابعة لشركة استثمارية إسرائيلية. | I assume they support Israel,boycott,,,,
